[2025-02-08 14:57:54,875] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-02-08 14:57:54,878] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-02-08 14:57:54,890] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-02-08 14:57:54,891] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-02-08 14:57:56,280] [INFO] [comm.py:652:init_distributed] cdb=None
[2025-02-08 14:57:56,281] [INFO] [comm.py:683:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2025-02-08 14:57:56,369] [INFO] [comm.py:652:init_distributed] cdb=None
[2025-02-08 14:57:56,484] [INFO] [comm.py:652:init_distributed] cdb=None
[2025-02-08 14:57:57,292] [INFO] [comm.py:652:init_distributed] cdb=None
ninja: no work to do.
Time to load fused_adam op: 0.03399348258972168 seconds
[2025-02-08 14:58:01,986] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
Time to load fused_adam op: 0.10181808471679688 seconds
Time to load fused_adam op: 0.10169482231140137 seconds
Time to load fused_adam op: 0.10144734382629395 seconds
[2025-02-08 14:58:02,072] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-02-08 14:58:02,086] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-02-08 14:58:02,086] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
{'loss': 2.7129, 'grad_norm': 14.688373685783022, 'learning_rate': 4.479309878815179e-06, 'epoch': 0.01}
{'loss': 1.1257, 'grad_norm': 5.203884126655984, 'learning_rate': 2.5617792421746295e-06, 'epoch': 0.77}
{'loss': 1.1045, 'grad_norm': 5.312466610074297, 'learning_rate': 2.4794069192751236e-06, 'epoch': 0.78}
{'loss': 1.0568, 'grad_norm': 5.231467279185494, 'learning_rate': 2.3970345963756183e-06, 'epoch': 0.79}
{'loss': 1.0936, 'grad_norm': 5.360930370035881, 'learning_rate': 2.3146622734761124e-06, 'epoch': 0.79}
{'loss': 1.1142, 'grad_norm': 5.223299521844163, 'learning_rate': 2.2322899505766066e-06, 'epoch': 0.8}
{'loss': 1.117, 'grad_norm': 5.422581695321117, 'learning_rate': 2.1499176276771004e-06, 'epoch': 0.81}
{'loss': 1.0833, 'grad_norm': 4.948757231404262, 'learning_rate': 2.067545304777595e-06, 'epoch': 0.82}
{'loss': 1.1024, 'grad_norm': 5.424795633852706, 'learning_rate': 1.985172981878089e-06, 'epoch': 0.82}
{'loss': 1.1107, 'grad_norm': 5.260952922819965, 'learning_rate': 1.9028006589785834e-06, 'epoch': 0.83}
{'loss': 1.0861, 'grad_norm': 5.052702854619986, 'learning_rate': 1.8204283360790776e-06, 'epoch': 0.84}
{'loss': 1.0781, 'grad_norm': 4.991183709846739, 'learning_rate': 1.7380560131795718e-06, 'epoch': 0.85}
{'loss': 1.0706, 'grad_norm': 5.39472818533089, 'learning_rate': 1.655683690280066e-06, 'epoch': 0.85}
{'loss': 1.1044, 'grad_norm': 5.166429124519337, 'learning_rate': 1.5733113673805603e-06, 'epoch': 0.86}
{'loss': 1.0942, 'grad_norm': 5.055707919907076, 'learning_rate': 1.4909390444810545e-06, 'epoch': 0.87}
{'loss': 1.1053, 'grad_norm': 5.255073457416811, 'learning_rate': 1.4085667215815487e-06, 'epoch': 0.87}
{'loss': 1.1148, 'grad_norm': 5.25283282918115, 'learning_rate': 1.3261943986820431e-06, 'epoch': 0.88}
{'loss': 1.1061, 'grad_norm': 5.334729707229255, 'learning_rate': 1.243822075782537e-06, 'epoch': 0.89}
{'loss': 1.093, 'grad_norm': 5.1821112162037295, 'learning_rate': 1.1614497528830313e-06, 'epoch': 0.9}
{'loss': 1.1396, 'grad_norm': 5.178464811383233, 'learning_rate': 1.0790774299835257e-06, 'epoch': 0.9}
{'loss': 1.0531, 'grad_norm': 5.008709379392739, 'learning_rate': 9.967051070840199e-07, 'epoch': 0.91}
{'loss': 1.1053, 'grad_norm': 5.275169890501843, 'learning_rate': 9.143327841845142e-07, 'epoch': 0.92}
{'loss': 1.1162, 'grad_norm': 5.5891017248042605, 'learning_rate': 8.319604612850082e-07, 'epoch': 0.93}
{'loss': 1.0802, 'grad_norm': 5.415676124186165, 'learning_rate': 7.495881383855025e-07, 'epoch': 0.93}
{'loss': 1.0899, 'grad_norm': 4.981338963497937, 'learning_rate': 6.672158154859967e-07, 'epoch': 0.94}
{'loss': 1.1198, 'grad_norm': 5.381578013206855, 'learning_rate': 5.84843492586491e-07, 'epoch': 0.95}
{'loss': 1.089, 'grad_norm': 5.541293062317696, 'learning_rate': 5.024711696869852e-07, 'epoch': 0.96}
{'loss': 1.1046, 'grad_norm': 5.291937313017072, 'learning_rate': 4.200988467874795e-07, 'epoch': 0.96}
{'loss': 1.1294, 'grad_norm': 5.866665711547311, 'learning_rate': 3.3772652388797363e-07, 'epoch': 0.97}
{'loss': 1.0914, 'grad_norm': 5.115984360289957, 'learning_rate': 2.553542009884679e-07, 'epoch': 0.98}
{'loss': 1.0871, 'grad_norm': 5.131898842234588, 'learning_rate': 1.729818780889621e-07, 'epoch': 0.99}
{'loss': 1.0911, 'grad_norm': 5.3793883041867945, 'learning_rate': 9.060955518945634e-08, 'epoch': 0.99}
{'train_runtime': 3077.8774, 'train_samples_per_second': 157.844, 'train_steps_per_second': 0.438, 'train_loss': 1.153792305643069, 'epoch': 1.0}
程序运行耗时: 3081.2907 秒
程序运行耗时: 3082.2891 秒
程序运行耗时: 3082.3478 秒
程序运行耗时: 3082.7868 秒
