[2025-03-03 05:45:32,895] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:32,914] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:32,947] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,113] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,289] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,293] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,304] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:33,316] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-03-03 05:45:34,542] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:34,542] [INFO] [comm.py:689:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2025-03-03 05:45:34,650] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:34,764] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:34,908] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,025] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,037] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,127] [INFO] [comm.py:658:init_distributed] cdb=None
[2025-03-03 05:45:35,140] [INFO] [comm.py:658:init_distributed] cdb=None
ninja: no work to do.
Time to load fused_adam op: 0.03647017478942871 seconds
Time to load fused_adam op: 0.10161828994750977 seconds
Time to load fused_adam op: 0.10178756713867188 seconds
Time to load fused_adam op: 0.10155630111694336 seconds
Time to load fused_adam op: 0.10130953788757324 seconds
Time to load fused_adam op: 0.10158467292785645 seconds
Time to load fused_adam op: 0.10156893730163574 seconds
Time to load fused_adam op: 0.10129547119140625 seconds
[2025-03-03 05:45:45,001] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,111] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,121] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,123] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,125] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,125] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,126] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
[2025-03-03 05:45:45,126] [WARNING] [lr_schedules.py:683:get_lr] Attempting to get learning rate from scheduler before it has started
{'loss': 1.3111, 'grad_norm': 2.249453796210676, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.3379, 'grad_norm': 1.5073674785509559, 'learning_rate': 4.863498059450147e-05, 'epoch': 0.05}
{'loss': 1.2279, 'grad_norm': 1.4471557410735443, 'learning_rate': 4.914715373778997e-05, 'epoch': 0.05}
{'loss': 1.3036, 'grad_norm': 1.4751456592859666, 'learning_rate': 4.9641961695355445e-05, 'epoch': 0.05}
{'loss': 1.3076, 'grad_norm': 1.582888448687449, 'learning_rate': 5.012054348462547e-05, 'epoch': 0.05}
{'loss': 1.2952, 'grad_norm': 1.4404862939089191, 'learning_rate': 5.058392960685034e-05, 'epoch': 0.05}
{'loss': 1.2555, 'grad_norm': 1.60152290109201, 'learning_rate': 5.1033055408567556e-05, 'epoch': 0.05}
{'loss': 1.2993, 'grad_norm': 1.7071059012075442, 'learning_rate': 5.1468772447854794e-05, 'epoch': 0.06}
{'loss': 1.2114, 'grad_norm': 1.5268988778507118, 'learning_rate': 5.189185821255142e-05, 'epoch': 0.06}
{'loss': 1.293, 'grad_norm': 1.5629112465395905, 'learning_rate': 5.2303024469130705e-05, 'epoch': 0.06}
{'loss': 1.272, 'grad_norm': 1.4472137318315517, 'learning_rate': 5.270292446742887e-05, 'epoch': 0.06}
{'loss': 1.2542, 'grad_norm': 1.4966081576532722, 'learning_rate': 5.309215918437669e-05, 'epoch': 0.06}
{'loss': 1.2971, 'grad_norm': 1.6588610095527239, 'learning_rate': 5.3471282756563704e-05, 'epoch': 0.06}
{'loss': 1.2468, 'grad_norm': 1.5349359329969285, 'learning_rate': 5.384080722490029e-05, 'epoch': 0.07}
{'loss': 1.3269, 'grad_norm': 1.6338475063562357, 'learning_rate': 5.4201206693328216e-05, 'epoch': 0.07}
{'loss': 1.3073, 'grad_norm': 1.5753467390066083, 'learning_rate': 5.455292098632669e-05, 'epoch': 0.07}
{'loss': 1.3593, 'grad_norm': 1.7023235850301859, 'learning_rate': 5.489635887599678e-05, 'epoch': 0.07}
{'loss': 1.3667, 'grad_norm': 1.5617212262117297, 'learning_rate': 5.52319009381124e-05, 'epoch': 0.07}
{'loss': 1.3646, 'grad_norm': 1.5906821250025833, 'learning_rate': 5.555990208718066e-05, 'epoch': 0.07}
{'loss': 1.1913, 'grad_norm': 1.4293777880789482, 'learning_rate': 5.58806938328529e-05, 'epoch': 0.08}
{'loss': 1.2868, 'grad_norm': 1.5047295236710645, 'learning_rate': 5.619458629365145e-05, 'epoch': 0.08}
{'loss': 1.3022, 'grad_norm': 1.4676376351014948, 'learning_rate': 5.650186999867556e-05, 'epoch': 0.08}
{'loss': 1.2757, 'grad_norm': 1.508499226307884, 'learning_rate': 5.6802817503522656e-05, 'epoch': 0.08}
{'loss': 1.3494, 'grad_norm': 1.9781692066044012, 'learning_rate': 5.7097684842950245e-05, 'epoch': 0.08}
{'loss': 1.1759, 'grad_norm': 1.57488545198028, 'learning_rate': 5.7386712839680014e-05, 'epoch': 0.08}
{'loss': 1.2729, 'grad_norm': 1.474228725187337, 'learning_rate': 5.767012828610855e-05, 'epoch': 0.09}
{'loss': 1.2537, 'grad_norm': 1.3162537891155888, 'learning_rate': 5.794814501345261e-05, 'epoch': 0.09}
{'loss': 1.2394, 'grad_norm': 1.573229760677954, 'learning_rate': 5.822096486095593e-05, 'epoch': 0.09}
{'loss': 1.3213, 'grad_norm': 1.673287125072305, 'learning_rate': 5.848877855616236e-05, 'epoch': 0.09}
{'loss': 1.277, 'grad_norm': 1.6016805465737245, 'learning_rate': 5.8751766515871534e-05, 'epoch': 0.09}
{'loss': 1.2954, 'grad_norm': 1.508499226307884, 'learning_rate': 5.901009957620191e-05, 'epoch': 0.09}
{'loss': 1.2327, 'grad_norm': 1.5249118810740814, 'learning_rate': 5.926393965916003e-05, 'epoch': 0.1}
{'loss': 1.2116, 'grad_norm': 1.538266978432559, 'learning_rate': 5.951344038222936e-05, 'epoch': 0.1}
{'loss': 1.3007, 'grad_norm': 1.6012865526611784, 'learning_rate': 5.975874761672551e-05, 'epoch': 0.1}
{'loss': 1.2446, 'grad_norm': 1.6240576432525964, 'learning_rate': 6e-05, 'epoch': 0.1}
{'loss': 1.3123, 'grad_norm': 1.6159977613849053, 'learning_rate': 6e-05, 'epoch': 0.1}
{'loss': 1.253, 'grad_norm': 1.608139304413614, 'learning_rate': 5.9890109890109894e-05, 'epoch': 0.1}
{'loss': 1.258, 'grad_norm': 1.4676537176203965, 'learning_rate': 5.978021978021978e-05, 'epoch': 0.11}
{'loss': 1.273, 'grad_norm': 1.6045788157057812, 'learning_rate': 5.967032967032967e-05, 'epoch': 0.11}
{'loss': 1.233, 'grad_norm': 1.4840713993592074, 'learning_rate': 5.9560439560439566e-05, 'epoch': 0.11}
{'loss': 1.3824, 'grad_norm': 1.6406302315764802, 'learning_rate': 5.945054945054945e-05, 'epoch': 0.11}
{'loss': 1.2416, 'grad_norm': 1.5081269721956159, 'learning_rate': 5.9340659340659345e-05, 'epoch': 0.11}
{'loss': 1.2619, 'grad_norm': 1.4991037552281727, 'learning_rate': 5.923076923076924e-05, 'epoch': 0.11}
{'loss': 1.2702, 'grad_norm': 1.4001270509018073, 'learning_rate': 5.9120879120879124e-05, 'epoch': 0.12}
{'loss': 1.2845, 'grad_norm': 1.5130671517597138, 'learning_rate': 5.901098901098901e-05, 'epoch': 0.12}
{'loss': 1.1876, 'grad_norm': 1.8058036886380544, 'learning_rate': 5.89010989010989e-05, 'epoch': 0.12}
{'loss': 1.2773, 'grad_norm': 1.5898152566741848, 'learning_rate': 5.879120879120879e-05, 'epoch': 0.12}
{'loss': 1.2172, 'grad_norm': 1.6190129541511484, 'learning_rate': 5.868131868131868e-05, 'epoch': 0.12}
{'loss': 1.3322, 'grad_norm': 1.6255630104715053, 'learning_rate': 5.857142857142857e-05, 'epoch': 0.12}
{'loss': 1.319, 'grad_norm': 1.6841113363643372, 'learning_rate': 5.846153846153846e-05, 'epoch': 0.13}
{'loss': 1.3574, 'grad_norm': 1.611787709671461, 'learning_rate': 5.8351648351648354e-05, 'epoch': 0.13}
{'loss': 1.2559, 'grad_norm': 1.4032786023996655, 'learning_rate': 5.824175824175824e-05, 'epoch': 0.13}
{'loss': 1.3448, 'grad_norm': 1.4938076471034683, 'learning_rate': 5.813186813186813e-05, 'epoch': 0.13}
{'loss': 1.3171, 'grad_norm': 1.656850597960233, 'learning_rate': 5.8021978021978026e-05, 'epoch': 0.13}
{'loss': 1.3167, 'grad_norm': 1.711926805674013, 'learning_rate': 5.791208791208791e-05, 'epoch': 0.13}
{'loss': 1.277, 'grad_norm': 1.5750717994430854, 'learning_rate': 5.7802197802197805e-05, 'epoch': 0.14}
{'loss': 1.2676, 'grad_norm': 1.5564665463703653, 'learning_rate': 5.76923076923077e-05, 'epoch': 0.14}
{'loss': 1.2837, 'grad_norm': 1.4057618459507366, 'learning_rate': 5.7582417582417584e-05, 'epoch': 0.14}
{'loss': 1.2356, 'grad_norm': 1.479255763133087, 'learning_rate': 5.747252747252748e-05, 'epoch': 0.14}
{'loss': 1.2587, 'grad_norm': 1.5606062284600262, 'learning_rate': 5.736263736263737e-05, 'epoch': 0.14}
{'loss': 1.3314, 'grad_norm': 1.7740072267894778, 'learning_rate': 5.7252747252747256e-05, 'epoch': 0.14}
{'loss': 1.2727, 'grad_norm': 1.703513284920859, 'learning_rate': 5.714285714285714e-05, 'epoch': 0.14}
{'loss': 1.3085, 'grad_norm': 1.5393135911631837, 'learning_rate': 5.7032967032967035e-05, 'epoch': 0.15}
{'loss': 1.2465, 'grad_norm': 1.585080897315511, 'learning_rate': 5.692307692307692e-05, 'epoch': 0.15}
{'loss': 1.2916, 'grad_norm': 1.4521518032545477, 'learning_rate': 5.6813186813186814e-05, 'epoch': 0.15}
{'loss': 1.2185, 'grad_norm': 1.512176602050966, 'learning_rate': 5.6703296703296706e-05, 'epoch': 0.15}
{'loss': 1.2367, 'grad_norm': 1.553268705355183, 'learning_rate': 5.659340659340659e-05, 'epoch': 0.15}
{'loss': 1.3073, 'grad_norm': 1.5745919592160866, 'learning_rate': 5.6483516483516485e-05, 'epoch': 0.15}
{'loss': 1.2482, 'grad_norm': 1.6820596666854715, 'learning_rate': 5.637362637362637e-05, 'epoch': 0.16}
{'loss': 1.3259, 'grad_norm': 1.515010512538985, 'learning_rate': 5.6263736263736264e-05, 'epoch': 0.16}
{'loss': 1.2249, 'grad_norm': 1.7182476349904128, 'learning_rate': 5.615384615384616e-05, 'epoch': 0.16}
{'loss': 1.3144, 'grad_norm': 1.7451941713879742, 'learning_rate': 5.604395604395604e-05, 'epoch': 0.16}
{'loss': 1.2793, 'grad_norm': 1.5603684190829692, 'learning_rate': 5.5934065934065936e-05, 'epoch': 0.16}
{'loss': 1.37, 'grad_norm': 1.7405995201012872, 'learning_rate': 5.582417582417583e-05, 'epoch': 0.16}
{'loss': 1.169, 'grad_norm': 1.5144427692963505, 'learning_rate': 5.5714285714285715e-05, 'epoch': 0.17}
{'loss': 1.306, 'grad_norm': 1.7233548294118803, 'learning_rate': 5.560439560439561e-05, 'epoch': 0.17}
{'loss': 1.2924, 'grad_norm': 1.5837610654135763, 'learning_rate': 5.54945054945055e-05, 'epoch': 0.17}
{'loss': 1.2649, 'grad_norm': 1.3878937806840574, 'learning_rate': 5.538461538461539e-05, 'epoch': 0.17}
{'loss': 1.2664, 'grad_norm': 1.6567602990910935, 'learning_rate': 5.527472527472527e-05, 'epoch': 0.17}
{'loss': 1.266, 'grad_norm': 1.5305609417770762, 'learning_rate': 5.5164835164835166e-05, 'epoch': 0.17}
{'loss': 1.3315, 'grad_norm': 1.402629982471923, 'learning_rate': 5.505494505494505e-05, 'epoch': 0.18}
{'loss': 1.2315, 'grad_norm': 1.462964452044395, 'learning_rate': 5.4945054945054945e-05, 'epoch': 0.18}
{'loss': 1.2841, 'grad_norm': 1.6105469815857654, 'learning_rate': 5.483516483516484e-05, 'epoch': 0.18}
{'loss': 1.1462, 'grad_norm': 1.3540529007684776, 'learning_rate': 5.4725274725274724e-05, 'epoch': 0.18}
{'loss': 1.2706, 'grad_norm': 1.7127658359217006, 'learning_rate': 5.461538461538462e-05, 'epoch': 0.18}
{'loss': 1.3608, 'grad_norm': 1.762436612659987, 'learning_rate': 5.450549450549451e-05, 'epoch': 0.18}
{'loss': 1.2162, 'grad_norm': 1.644980543653454, 'learning_rate': 5.4395604395604396e-05, 'epoch': 0.19}
{'loss': 1.2649, 'grad_norm': 1.8463457875853007, 'learning_rate': 5.428571428571429e-05, 'epoch': 0.19}
{'loss': 1.2994, 'grad_norm': 1.6533967398718752, 'learning_rate': 5.4175824175824175e-05, 'epoch': 0.19}
{'loss': 1.276, 'grad_norm': 1.468352406031863, 'learning_rate': 5.406593406593407e-05, 'epoch': 0.19}
{'loss': 1.4037, 'grad_norm': 1.5673005935162538, 'learning_rate': 5.395604395604396e-05, 'epoch': 0.19}
{'loss': 1.3326, 'grad_norm': 1.5264256051880905, 'learning_rate': 5.384615384615385e-05, 'epoch': 0.19}
{'loss': 1.3191, 'grad_norm': 1.6169407605636013, 'learning_rate': 5.373626373626374e-05, 'epoch': 0.2}
{'loss': 1.2719, 'grad_norm': 1.6489281669872806, 'learning_rate': 5.362637362637363e-05, 'epoch': 0.2}
{'loss': 1.3444, 'grad_norm': 1.5991785682658093, 'learning_rate': 5.351648351648352e-05, 'epoch': 0.2}
{'loss': 1.265, 'grad_norm': 1.3806377486628552, 'learning_rate': 5.3406593406593405e-05, 'epoch': 0.2}
{'loss': 1.2353, 'grad_norm': 1.5622013569579936, 'learning_rate': 5.32967032967033e-05, 'epoch': 0.2}
{'loss': 1.2997, 'grad_norm': 1.6677288803115144, 'learning_rate': 5.3186813186813184e-05, 'epoch': 0.2}
{'loss': 1.2414, 'grad_norm': 1.4232945325388489, 'learning_rate': 5.3076923076923076e-05, 'epoch': 0.21}
{'loss': 1.3122, 'grad_norm': 1.4546500786086973, 'learning_rate': 5.296703296703297e-05, 'epoch': 0.21}
{'loss': 1.21, 'grad_norm': 1.4937370203962594, 'learning_rate': 5.2857142857142855e-05, 'epoch': 0.21}
{'loss': 1.2352, 'grad_norm': 1.7384866314544878, 'learning_rate': 5.274725274725275e-05, 'epoch': 0.21}
{'loss': 1.2641, 'grad_norm': 1.5558394568468712, 'learning_rate': 5.263736263736264e-05, 'epoch': 0.21}
{'loss': 1.2532, 'grad_norm': 1.6554195553363695, 'learning_rate': 5.252747252747253e-05, 'epoch': 0.21}
{'loss': 1.2234, 'grad_norm': 1.479761442856548, 'learning_rate': 5.241758241758242e-05, 'epoch': 0.22}
{'loss': 1.3179, 'grad_norm': 1.7194737384473433, 'learning_rate': 5.230769230769231e-05, 'epoch': 0.22}
{'loss': 1.1714, 'grad_norm': 1.5192640996432192, 'learning_rate': 5.21978021978022e-05, 'epoch': 0.22}
{'loss': 1.3099, 'grad_norm': 1.600861633278338, 'learning_rate': 5.208791208791209e-05, 'epoch': 0.22}
{'loss': 1.328, 'grad_norm': 1.6583547354360257, 'learning_rate': 5.197802197802198e-05, 'epoch': 0.22}
{'loss': 1.4275, 'grad_norm': 1.6241976150818362, 'learning_rate': 5.186813186813187e-05, 'epoch': 0.22}
{'loss': 1.3034, 'grad_norm': 1.4969158254642747, 'learning_rate': 5.1758241758241764e-05, 'epoch': 0.23}
{'loss': 1.3293, 'grad_norm': 1.4442906246853773, 'learning_rate': 5.164835164835165e-05, 'epoch': 0.23}
{'loss': 1.3038, 'grad_norm': 1.570481628116193, 'learning_rate': 5.1538461538461536e-05, 'epoch': 0.23}
{'loss': 1.3021, 'grad_norm': 1.48554312268931, 'learning_rate': 5.142857142857143e-05, 'epoch': 0.23}
{'loss': 1.3318, 'grad_norm': 1.477499366927939, 'learning_rate': 5.1318681318681315e-05, 'epoch': 0.23}
{'loss': 1.264, 'grad_norm': 1.5130286246628226, 'learning_rate': 5.120879120879121e-05, 'epoch': 0.23}
{'loss': 1.2202, 'grad_norm': 1.4461199180506479, 'learning_rate': 5.10989010989011e-05, 'epoch': 0.24}
{'loss': 1.2772, 'grad_norm': 1.6846700887571076, 'learning_rate': 5.098901098901099e-05, 'epoch': 0.24}
{'loss': 1.3205, 'grad_norm': 1.82463647278787, 'learning_rate': 5.087912087912088e-05, 'epoch': 0.24}
{'loss': 1.2754, 'grad_norm': 1.7630217273734308, 'learning_rate': 5.076923076923077e-05, 'epoch': 0.24}
{'loss': 1.2385, 'grad_norm': 1.7255977507156122, 'learning_rate': 5.065934065934066e-05, 'epoch': 0.24}
{'loss': 1.2155, 'grad_norm': 1.5932798253070133, 'learning_rate': 5.054945054945055e-05, 'epoch': 0.24}
{'loss': 1.2161, 'grad_norm': 1.6260824266400333, 'learning_rate': 5.0439560439560444e-05, 'epoch': 0.25}
{'loss': 1.2768, 'grad_norm': 1.4865236492104206, 'learning_rate': 5.032967032967033e-05, 'epoch': 0.25}
{'loss': 1.2438, 'grad_norm': 1.43059206836773, 'learning_rate': 5.0219780219780223e-05, 'epoch': 0.25}
{'loss': 1.3351, 'grad_norm': 1.9239759669161025, 'learning_rate': 5.0109890109890116e-05, 'epoch': 0.25}
{'loss': 1.2709, 'grad_norm': 1.4880798684189305, 'learning_rate': 5e-05, 'epoch': 0.25}
{'loss': 1.2754, 'grad_norm': 1.5936871684535692, 'learning_rate': 4.9890109890109895e-05, 'epoch': 0.25}
{'loss': 1.3162, 'grad_norm': 1.5037021250726075, 'learning_rate': 4.978021978021978e-05, 'epoch': 0.26}
{'loss': 1.2537, 'grad_norm': 1.4429112462687248, 'learning_rate': 4.967032967032967e-05, 'epoch': 0.26}
{'loss': 1.2424, 'grad_norm': 1.5100856900690498, 'learning_rate': 4.956043956043956e-05, 'epoch': 0.26}
{'loss': 1.3163, 'grad_norm': 1.8868740483850517, 'learning_rate': 4.9450549450549446e-05, 'epoch': 0.26}
{'loss': 1.1874, 'grad_norm': 1.3276392328842506, 'learning_rate': 4.934065934065934e-05, 'epoch': 0.26}
{'loss': 1.3302, 'grad_norm': 1.6940929755330332, 'learning_rate': 4.923076923076923e-05, 'epoch': 0.26}
{'loss': 1.3015, 'grad_norm': 1.4958170742047376, 'learning_rate': 4.912087912087912e-05, 'epoch': 0.27}
{'loss': 1.3873, 'grad_norm': 1.6834291169641362, 'learning_rate': 4.901098901098901e-05, 'epoch': 0.27}
{'loss': 1.2387, 'grad_norm': 1.5044843875306944, 'learning_rate': 4.8901098901098904e-05, 'epoch': 0.27}
{'loss': 1.207, 'grad_norm': 1.4868390161458205, 'learning_rate': 4.879120879120879e-05, 'epoch': 0.27}
{'loss': 1.3534, 'grad_norm': 1.762352806059247, 'learning_rate': 4.868131868131868e-05, 'epoch': 0.27}
{'loss': 1.3002, 'grad_norm': 1.4658409691561665, 'learning_rate': 4.8571428571428576e-05, 'epoch': 0.27}
{'loss': 1.2799, 'grad_norm': 1.4116920287110755, 'learning_rate': 4.846153846153846e-05, 'epoch': 0.28}
{'loss': 1.2948, 'grad_norm': 1.616689411802972, 'learning_rate': 4.8351648351648355e-05, 'epoch': 0.28}
{'loss': 1.3124, 'grad_norm': 1.5504720461286672, 'learning_rate': 4.824175824175825e-05, 'epoch': 0.28}
{'loss': 1.3114, 'grad_norm': 1.5287765455709483, 'learning_rate': 4.8131868131868134e-05, 'epoch': 0.28}
{'loss': 1.2495, 'grad_norm': 1.3831301825314668, 'learning_rate': 4.802197802197803e-05, 'epoch': 0.28}
{'loss': 1.2674, 'grad_norm': 1.4621878592451372, 'learning_rate': 4.791208791208792e-05, 'epoch': 0.28}
{'loss': 1.2293, 'grad_norm': 1.4566020589128572, 'learning_rate': 4.78021978021978e-05, 'epoch': 0.29}
{'loss': 1.3324, 'grad_norm': 1.4515445276960675, 'learning_rate': 4.769230769230769e-05, 'epoch': 0.29}
{'loss': 1.2534, 'grad_norm': 1.454416746844448, 'learning_rate': 4.758241758241758e-05, 'epoch': 0.29}
{'loss': 1.2663, 'grad_norm': 1.624156733104587, 'learning_rate': 4.747252747252747e-05, 'epoch': 0.29}
{'loss': 1.3183, 'grad_norm': 1.5822630912539348, 'learning_rate': 4.7362637362637364e-05, 'epoch': 0.29}
{'loss': 1.2736, 'grad_norm': 1.4945696445444752, 'learning_rate': 4.725274725274725e-05, 'epoch': 0.29}
